iter	RMSE
247	1.855006902
248	1.854544866
249	1.853030652
250	1.85237123
251	1.852096024
252	1.84997399
253	1.847740029
254	1.847051833
255	1.846656505
256	1.844658072
257	1.843448249
258	1.84329274
259	1.843221501
260	1.842946087
261	1.841720187
262	1.840546316
263	1.840037103
264	1.839573756
265	1.839213965
266	1.838911519
267	1.837336809
268	1.836917742
269	1.836619326
270	1.836414083
271	1.836216605
272	1.83579736
273	1.83439587
274	1.83376219
275	1.833578442
276	1.833401585
277	1.832300928
278	1.832130579
279	1.83148079
280	1.830891123
281	1.830276893
282	1.829800909
283	1.828175467
284	1.827836459
285	1.827426609
286	1.827293403
287	1.827000072
288	1.825999565
289	1.825871658
290	1.82552875
291	1.82470343
292	1.823930027
293	1.823808264
294	1.819991202
295	1.819588197
296	1.819320115
297	1.81896863
298	1.818703591
299	1.818343399
300	1.818002933
301	1.817473811
302	1.816530684
303	1.815574825
304	1.814699664
305	1.813344561
306	1.811841032
307	1.810543482
308	1.80955249
309	1.808481677
310	1.804860543
311	1.80396562
312	1.803021806
313	1.802705224
314	1.802480649
315	1.80169194
316	1.80088981
317	1.799299653
318	1.798933006
319	1.798079926
320	1.795786342
321	1.79496464
322	1.793834434
323	1.793617293
324	1.793456793
325	1.793302383
326	1.793020481
327	1.792901235
328	1.792109948
329	1.792005594
330	1.791611726
331	1.791403464
332	1.791303369
333	1.791034981
334	1.790755995
335	1.790385477
336	1.789020359
337	1.788655325
338	1.788395665
339	1.788130401
340	1.787341498
341	1.786679354
342	1.786353517
343	1.78400886
344	1.783370476
345	1.782721134
346	1.782095332
347	1.781523442
348	1.780539797
349	1.780153161
350	1.779803649
351	1.779708588
352	1.779617677
353	1.779576323
354	1.779536539
355	1.77928093
356	1.777914785
357	1.777595873
358	1.777515442
359	1.77729912
360	1.774126922
361	1.77405447
362	1.773856104
363	1.773302584
364	1.769927645
365	1.76904123
366	1.765663881
367	1.762519581
368	1.759548256
369	1.756349605
370	1.753543558
371	1.752621158
372	1.749597473
373	1.746945919
374	1.74562924
375	1.745302079
376	1.744656008
377	1.74322785
378	1.740723566
379	1.74053529
380	1.737667623
381	1.737491036
382	1.736851963
383	1.736326474
384	1.735820098
385	1.735397453
386	1.734854065
387	1.73435265
388	1.733949295
389	1.733788335
390	1.73326485
391	1.731721648
392	1.730912558
393	1.729871227
394	1.72941614
395	1.728188911
396	1.726592445
397	1.725530563
398	1.725090675
399	1.723890775
400	1.723312216
401	1.721685247
402	1.721174365
403	1.720018829
404	1.717318879
405	1.716708302
406	1.714974663
407	1.71445265
408	1.714034763
409	1.713534236
410	1.713011861
411	1.712431136
412	1.711485234
413	1.711038328
414	1.710784599
415	1.71040204
416	1.71005535
417	1.70775977
418	1.706591041
419	1.706146513
420	1.705775761
421	1.703608896
422	1.70336321
423	1.702807995
424	1.70277998
425	1.702422445
426	1.702376725
427	1.702032538
428	1.70108922
429	1.700773936
430	1.700407569
431	1.700245299
432	1.699689027
433	1.699581863
434	1.69841821
435	1.698085179
436	1.697111713
437	1.69551638
438	1.695068642
439	1.694708425
440	1.694526233
441	1.694230837
442	1.693178596
443	1.691564061
444	1.691227198
445	1.690538701
446	1.690207436
447	1.689907213
448	1.689202402
449	1.688239045
450	1.687681791
451	1.687263832
452	1.68701322
453	1.685211842
454	1.684769123
455	1.684689636
456	1.683132149
457	1.682610329
458	1.682414999
459	1.681936358
460	1.681646524
461	1.681324998
462	1.681185503
463	1.680998834
464	1.680719265
465	1.6797188
466	1.679373069
467	1.679247193
468	1.677786924
469	1.676595124
470	1.676325057
471	1.674721468
472	1.674029183
473	1.673847991
474	1.673370103
475	1.673161876
476	1.673023777
477	1.672562356
478	1.672120659
479	1.671859314
480	1.671606534
481	1.671185746
482	1.670250768
483	1.669214493
484	1.668624164
485	1.667688109
486	1.666427018
487	1.666249649
488	1.665989879
489	1.665882552
490	1.66562267
491	1.665070883
492	1.664860681
493	1.664678821
494	1.664430223
495	1.664295863
496	1.663998735
497	1.663558214
498	1.663124035
499	1.662934565
500	1.662597043
501	1.662462666
502	1.66227435
503	1.661623417
504	1.661514743
505	1.661139862
506	1.660270321
507	1.659625704
508	1.659074082
509	1.658999259
510	1.658850925
511	1.657714681
512	1.657266372
513	1.657029912
514	1.656127258
515	1.65589695
516	1.655356971
517	1.655112216
518	1.654891193
519	1.654179729
520	1.654090981
521	1.653928921
522	1.653739647
523	1.653640328
524	1.652819806
525	1.652621662
526	1.652468183
527	1.65192376
528	1.651814643
529	1.651584862
530	1.651484675
531	1.650084781
532	1.648764198
533	1.647850489
534	1.647636607
535	1.647218226
536	1.647011931
537	1.646701839
538	1.645957181
539	1.645508694
540	1.645194472
541	1.64504533
542	1.644863364
543	1.6441416
544	1.643942388
545	1.643553986
546	1.643155813
547	1.642637409
548	1.642421569
549	1.64228372
550	1.640940348
551	1.639617457
552	1.639095196
553	1.638219969
554	1.63808756
555	1.637821238
556	1.636915836
557	1.635873333
558	1.635134815
559	1.63396367
560	1.632147331
561	1.631279668
562	1.630733745
563	1.630354573
564	1.629253543
565	1.629059737
566	1.628872959
567	1.628558097
568	1.628395066
569	1.628177031
570	1.627970146
571	1.627842885
572	1.627518406
573	1.627285724
574	1.626277339
575	1.626155043
576	1.625327479
577	1.624836851
578	1.624144967
579	1.62397068
580	1.623216598
581	1.621677934
582	1.621569201
583	1.621395659
584	1.621225096
585	1.62081651
586	1.620435343
587	1.619451042
588	1.618974132
589	1.618462433
590	1.618188416
591	1.617592384
592	1.616579426
593	1.616472072
594	1.616242929
595	1.615822035
596	1.615631731
597	1.61526286
598	1.615131578
599	1.614520067
600	1.614209016
601	1.614011583
602	1.613567965
603	1.612574963
604	1.612390103
605	1.610509149
606	1.609761482
607	1.608549043
608	1.608391666
609	1.607398585
610	1.60729942
611	1.607114407
612	1.605735682
613	1.605589181
614	1.605171662
615	1.603478222
616	1.602197656
617	1.602129346
618	1.602048252
619	1.601760396
620	1.600634325
621	1.599593301
622	1.599237483
623	1.599188185
624	1.59903037
625	1.598003498
626	1.597730865
627	1.597595508
628	1.596947462
629	1.59686404
630	1.596711445
631	1.595962341
632	1.595014637
633	1.594031627
634	1.593132583
635	1.592225929
636	1.592027021
637	1.590461936
638	1.590359256
639	1.590153301
640	1.589187808
641	1.588898501
642	1.588725215
643	1.588586958
644	1.588453743
645	1.588423415
646	1.588084177
647	1.58731756
648	1.586926584
649	1.586202063
650	1.586051855
651	1.5849208
652	1.584797443
653	1.584045868
654	1.583600508
655	1.583198324
656	1.582782368
657	1.582471753
658	1.582323365
659	1.581509562
660	1.580633154
661	1.580351362
662	1.579373664
663	1.578506158
664	1.577673384
665	1.577124403
666	1.576775346
667	1.576374086
668	1.575789707
669	1.57495097
670	1.574814076
671	1.57420344
672	1.573425242
673	1.57328634
674	1.572821123
675	1.572367047
676	1.572070213
677	1.571892621
678	1.571334877
679	1.570666227
680	1.570523627
681	1.570002447
682	1.569196361
683	1.568671266
684	1.568529592
685	1.567359518
686	1.566752294
687	1.566402057
688	1.566285278
689	1.566189809
690	1.566098069
691	1.565970492
692	1.565841437
693	1.565723634
694	1.565649957
695	1.564729495
696	1.563944414
697	1.563192229
698	1.562695702
699	1.562383837
700	1.561908969
701	1.56173281
702	1.561239367
703	1.560335544
704	1.560143465
705	1.559750486
706	1.559423909
707	1.559136816
708	1.558317831
709	1.557710288
710	1.557453554
711	1.557319372
712	1.556299736
713	1.555800979
714	1.554904315
715	1.554169937
716	1.55358974
717	1.55330276
718	1.5518633
719	1.551705071
720	1.550984227
721	1.550176626
722	1.549099225
723	1.548799219
724	1.548490889
725	1.547992741
726	1.547548216
727	1.547320262
728	1.547214713
729	1.546788307
730	1.545909928
731	1.545379938
732	1.545333081
733	1.544751034
734	1.54468986
735	1.543996409
736	1.543335914
737	1.543197341
738	1.542909744
739	1.542269461
740	1.54167014
741	1.541553675
742	1.540989775
743	1.540866365
744	1.540742558
745	1.540199009
746	1.540080089
747	1.539992793
748	1.539872949
749	1.53957135
750	1.53954643
751	1.539410303
752	1.539220538
753	1.539033258
754	1.538928174
755	1.538547572
756	1.538325594
757	1.5374098
758	1.537329045
759	1.537171936
760	1.537075614
761	1.536841112
762	1.536462425
763	1.535900241
764	1.535824339
765	1.535423307
766	1.535191265
767	1.53510523
768	1.535038969
769	1.534927187
770	1.534559024
771	1.534027304
772	1.533860948
773	1.533365304
774	1.533252556
775	1.533181343
776	1.533117135
777	1.533047817
778	1.532977711
779	1.532180418
780	1.532052246
781	1.531845742
782	1.531620307
783	1.531381871
784	1.531185656
785	1.530384892
786	1.52976564
787	1.529007109
788	1.528793662
789	1.528652786
790	1.527894265
791	1.527661584
792	1.527558931
793	1.527438853
794	1.527217878
795	1.526745547
796	1.526163968
797	1.526074634
798	1.525901844
799	1.525880427
800	1.525765656
801	1.525419151
802	1.525233166
803	1.524725236
804	1.524130838
805	1.523630252
806	1.523418993
807	1.52324153
808	1.522926667
809	1.521544082
810	1.52149696
811	1.521259512
812	1.520525325
813	1.519818429
814	1.519773654
815	1.519111318
816	1.518249239
817	1.517662278
818	1.517563144
819	1.517520431
820	1.516749639
821	1.516730758
822	1.516404851
823	1.515709028
824	1.515311216
825	1.515196353
826	1.514653303
827	1.514100319
828	1.513597815
829	1.51340578
830	1.513310219
831	1.513191502
832	1.513001265
833	1.512744884
834	1.512266632
835	1.512162706
836	1.511606259
837	1.511525555
838	1.511367272
839	1.510865374
840	1.508919453
841	1.508750992
842	1.508509425
843	1.507837025
844	1.506035856
845	1.505795363
846	1.505579165
847	1.505068924
848	1.504762635
849	1.504371188
850	1.504179918
851	1.503863558
852	1.502050148
853	1.501920555
854	1.501199717
855	1.499398633
856	1.49778067
857	1.497628265
858	1.497465481
859	1.497327089
860	1.497223074
861	1.497096605
862	1.496990867
863	1.496563545
864	1.49639443
865	1.496277599
866	1.496173153
867	1.495787212
868	1.49566282
869	1.494148129
870	1.493772929
871	1.493683634
872	1.493352789
873	1.492020938
874	1.491532611
875	1.491420309
876	1.4911226
877	1.490932767
878	1.490315521
879	1.489992279
880	1.489829021
881	1.4894159
882	1.489300905
883	1.489153397
884	1.489089429
885	1.488301719
886	1.488117578
887	1.488056752
888	1.487844845
889	1.487416115
890	1.487234996
891	1.485794174
892	1.485486498
893	1.485277381
894	1.484865497
895	1.484633294
896	1.484512553
897	1.483322238
898	1.483184613
899	1.483075075
900	1.482960213
901	1.48290097
902	1.482761484
903	1.482117543
904	1.48164729
905	1.481591157
906	1.481188667
907	1.480593767
908	1.480504264
909	1.480450073
910	1.479785162
911	1.479593629
912	1.479513063
913	1.479358245
914	1.479191706
915	1.479139555
916	1.479096868
917	1.479007677
918	1.478901574
919	1.477779391
920	1.477591285
921	1.477526944
922	1.477330531
923	1.477208916
924	1.47595865
925	1.475204904
926	1.474947967
927	1.474865196
928	1.474197843
929	1.474136567
930	1.473871025
931	1.473766097
932	1.473300621
933	1.473062382
934	1.472872615
935	1.472640745
936	1.47188903
937	1.471724603
938	1.471520769
939	1.471030215
940	1.470640995
941	1.470320226
942	1.470216252
943	1.470119376
944	1.46855088
945	1.468447586
946	1.468326351
947	1.466830484
948	1.466730231
949	1.466478951
950	1.466421932
951	1.466168532
952	1.465931212
953	1.465343597
954	1.465282875
955	1.465151701
956	1.464854398
957	1.464131245
958	1.463805325
959	1.463617918
960	1.463513217
961	1.463299976
962	1.463023239
963	1.462749492
964	1.461095205
965	1.460985503
966	1.46093198
967	1.46069202
968	1.460549526
969	1.460379276
970	1.45992915
971	1.459903647
972	1.459209792
973	1.459162365
974	1.459091376
975	1.458886575
976	1.458840946
977	1.458814823
978	1.458198195
979	1.458096946
980	1.45799578
981	1.457719245
982	1.457679552
983	1.457621797
984	1.457540474
985	1.456953265
986	1.456914148
987	1.45682015
988	1.45678306
989	1.456494518
990	1.455976588
991	1.455883257
992	1.455254501
993	1.45506453
994	1.454638676
995	1.454400912
996	1.454200331
997	1.454106222
998	1.454014655
999	1.453752197
